show,show_name,show_cn,number,title_en,title_cn,date,tag,link,spotify_episode_id,spotify_url,spotify_matched_title,group
rip,The Rest Is Politics,其余皆为政治,561,How Trump's Chaos Keeps Splintering the World Order,特朗普的混乱如何持续撕裂世界秩序,2026-08-11,全球政治,https://podcasts.apple.com/us/podcast/how-trumps-chaos-keeps-splintering-the-world-order/id1611374685?i=1000782760060,4XY2EipJg1SlR5myaFI1jD,https://open.spotify.com/episode/4XY2EipJg1SlR5myaFI1jD,561. How Trump’s Chaos Keeps Splintering the World Order,restis
rient,The Rest Is Entertainment,其余皆为娱乐,—,Box Office Battle: Spielberg vs Nolan,票房大战：斯皮尔伯格 vs 诺兰,2026-01-13,电影产业,https://podcasts.apple.com/us/podcast/box-office-battle-spielberg-vs-nolan/id1718287198?i=1000744872161,3LVgCPmaE4ZbT1hlL5klbw,https://open.spotify.com/episode/3LVgCPmaE4ZbT1hlL5klbw,Box Office Battle: Spielberg vs Nolan,restis
rient,The Rest Is Entertainment,其余皆为娱乐,—,"The Oscars: Drama, Fallout and Chalamet's Shocker",奥斯卡：戏剧、余波与查拉梅的震撼,2026-03-16,电影产业,https://podcasts.apple.com/us/podcast/the-oscars-drama-fallout-and-chalamets-shocker/id1718287198?i=1000755574421,649xxEOYjXC8yZ9aw3oCh7,https://open.spotify.com/episode/649xxEOYjXC8yZ9aw3oCh7,"The Oscars: Drama, Fallout and Chalamet’s Shocker",restis
rimoney,The Rest Is Money,其余皆为金钱,301,Why the US won't stop China in the AI race,为什么美国阻止不了中国在 AI 竞赛中的脚步,2026-08-02,科技×经济,SEARCH:China AI race,2CTQflfDfpRpuRcwwYC287,https://open.spotify.com/episode/2CTQflfDfpRpuRcwwYC287,301. Why the US won't stop China in the AI race,restis
rimoney,The Rest Is Money,其余皆为金钱,302,"Can the West bridge the gap with China, India and the BRICs+ nations?",西方能否弥合与中国、印度及金砖+国家的鸿沟？,2026-08-05,全球经济,https://podcasts.apple.com/us/podcast/can-the-west-bridge-the-gap-with-china/id1703785141?i=1000780145448,2G3oLOOGZryOl0EnJQa0CC,https://open.spotify.com/episode/2G3oLOOGZryOl0EnJQa0CC,"302. Can the West bridge the gap with China, India and the BRICs+ nations?",restis
rih,The Rest Is History,其余皆为历史,166,Genghis Khan: Lord of the Mongols,成吉思汗：蒙元之主,2022-03-22,中亚史,SEARCH:Genghis Khan,42SD2Brb1P3CkC3QUUNop6,https://open.spotify.com/episode/42SD2Brb1P3CkC3QUUNop6,166. Genghis Khan: Lord of the Mongols,restis
rih,The Rest Is History,其余皆为历史,277,Japan: Samurai and Shoguns,日本：武士与幕府将军,2022-12-09,日本·武士,SEARCH:Samurai and Shoguns,6lXNuHjCcti2YSPF2AF19Q,https://open.spotify.com/episode/6lXNuHjCcti2YSPF2AF19Q,277: Japan: Samurai and Shoguns,restis
rih,The Rest Is History,其余皆为历史,101,James Bond,詹姆斯·邦德（007）,2021-09-27,谍影×流行,SEARCH:James Bond,0zrYcKTcbj7eVWM3mYQDL4,https://open.spotify.com/episode/0zrYcKTcbj7eVWM3mYQDL4,101. James Bond,restis
rih,The Rest Is History,其余皆为历史,370,"The 1973 Chilean Coup: Allende, Nixon and the CIA (Part 1)",1973 智利政变：阿连德、尼克松与中情局（上）,2023-09-20,冷战·拉美,SEARCH:Chilean Coup,5iSHeqZFrrViqZgCZtSP21,https://open.spotify.com/episode/5iSHeqZFrrViqZgCZtSP21,"370. The 1973 Chilean Coup: Allende, Nixon and the CIA (Part 1)",restis
riclass,The Rest Is Classified,其余皆为机密,174,The Murder of Litvinenko: Did the British State Hide the Truth? (Ep 6),利特维年科之死：英国政府是否掩盖了真相？（第 6 集）,2026-07-08,俄谍·投毒,SEARCH:Litvinenko,0Vz3OTpzeLrT9NaWSwcAlL,https://open.spotify.com/episode/0Vz3OTpzeLrT9NaWSwcAlL,174. The Murder of Litvinenko: Did the British State Hide the Truth? (Ep 6),restis
riclass,The Rest Is Classified,其余皆为机密,175,How China Downed a US Spy Plane (Ep 1),中国如何击落美国侦察机（第 1 集）,2026-07-12,中美·军事,SEARCH:US Spy Plane,00PdVCtcw6lyfRvTVUrVbQ,https://open.spotify.com/episode/00PdVCtcw6lyfRvTVUrVbQ,175. How China Downed a US Spy Plane (Ep 1),restis
rimoney,The Rest Is Money,其余皆为金钱,297,How do we reshape our workforce in the AI era?,我们如何在 AI 时代重塑劳动力？,2026-07-19,AI×就业,SEARCH:AI era workforce,5vMnShDAXX72BS3zqjifJz,https://open.spotify.com/episode/5vMnShDAXX72BS3zqjifJz,297. How do we reshape our workforce in the AI era?,restis
rip,The Rest Is Politics,其余皆为政治,—,Data Centres vs. Drinking Water: What Matters To Us Most?,数据中心 vs 饮用水：什么对我们更重要？,2026-07-30,STS·基建,SEARCH:Data Centres Water,13xTupjN3Xq5yy6akK9eYD,https://open.spotify.com/episode/13xTupjN3Xq5yy6akK9eYD,Data Centres vs. Drinking Water: What Matters To Us Most? ,restis
blankcheck,Blank Check with Griffin & David,空白支票（Blank Check）,—,Mean Streets with Miriam Bale,《穷街陋巷》× 影评人 Miriam Bale（斯科塞斯系列）,2026-08-16,电影·斯科塞斯,,6hSE3FYnITw20yy18Ub8M0,https://open.spotify.com/episode/6hSE3FYnITw20yy18Ub8M0,Mean Streets with Miriam Bale,other
filmcomment,The Film Comment Podcast,电影评论播客,—,"Cannes 2026 #8, with Justin Chang, Tim Grierson, and Jessica Kiang",戛纳 2026 第八期：三位顶级影评人对谈,2026-05-26,电影·戛纳,,5kp6GpHPgU7O9JFvv5xU88,https://open.spotify.com/episode/5kp6GpHPgU7O9JFvv5xU88,"Cannes 2026 #8, with Justin Chang, Tim Grierson, and Jessica Kiang",other
purecinema,Pure Cinema Podcast,纯粹电影播客,—,Anything Goes: 80s!,任意门：80 年代主题片单大杂烩,2025-03-04,电影·类型片,,7488mJjYZbmeTt8PcMhvhx,https://open.spotify.com/episode/7488mJjYZbmeTt8PcMhvhx,Anything Goes: 80s!,other
cinephiliacs,The Cinephiliacs,影迷学,—,TC #117 - Justin Chang (Flowers of Shanghai),贾斯汀·张聊侯孝贤《海上花》,2019-08-01,电影·侯孝贤,,4LVv1EbY2t0yLaTHE2lBwi,https://open.spotify.com/episode/4LVv1EbY2t0yLaTHE2lBwi,TC #117 - Justin Chang (Flowers of Shanghai),other
newbookssts,"New Books in Science, Technology, and Society",新书：科学·技术·社会,—,Beyond Free Speech: Why AI Governance Demands Freedom of Thought,超越言论自由：AI 治理为何需要思想自由,2026-08-09,STS·AI 治理,,5LrSGE6W4nCSZXd0vgPfFp,https://open.spotify.com/episode/5LrSGE6W4nCSZXd0vgPfFp,Beyond Free Speech: Why AI Governance Demands Freedom of Thought,other
techwontsaveus,Tech Won't Save Us,科技救不了我们,—,How Cloud Giants Wield Their Power Against Us All w/ Cecilia Rikap,云巨头如何对我们所有人滥用权力（嘉宾 Cecilia Rikap）,2026-07-30,STS·云巨头,,2DUb1V1qT75nb6W6jKpMKO,https://open.spotify.com/episode/2DUb1V1qT75nb6W6jKpMKO,How Cloud Giants Wield Their Power Against Us All w/ Cecilia Rikap,other
econtalk,EconTalk,EconTalk 经济漫谈,—,The Unseen Work: Stewart Brand on Maintenance and Civilization,看不见的活计：斯图尔特·布兰德谈维护与文明,2026-04-06,思想·文明,,3ZQn8LoVhq5lOAMdCNscj3,https://open.spotify.com/episode/3ZQn8LoVhq5lOAMdCNscj3,The Unseen Work: Stewart Brand on Maintenance and Civilization,other
philosophybites,Philosophy Bites,哲学小咬,—,James Klagge on Wittgenstein,詹姆斯·克拉格谈维特根斯坦,2024-02-19,哲学·维特根斯坦,,4dWvlKiL4lcMcpCn0aR3u2,https://open.spotify.com/episode/4dWvlKiL4lcMcpCn0aR3u2,James Klagge on Wittgenstein,other
pel,The Partially Examined Life,半途而废的哲学人生,—,Ep. 393: Kant vs. Hegel (Part One),第 393 期：康德 vs 黑格尔（上）,2026-06-08,哲学·德国观念论,,08s0tbZNHP6MgsPNk5xN9J,https://open.spotify.com/episode/08s0tbZNHP6MgsPNk5xN9J,Ep. 393: Kant vs. Hegel (Part One),other
hpwag,History of Philosophy Without Any Gaps,无缝哲学史,—,HoP 498 Probably Probable: Pierre Bayle and his Dictionary,HoP 498：皮埃尔·培尔与其《辞典》,2026-07-26,哲学史·近代,,7ehjV1E0Zm10HtuzPzHekp,https://open.spotify.com/episode/7ehjV1E0Zm10HtuzPzHekp,HoP 498 Probably Probable: Pierre Bayle and his Dictionary,other
betweenthecovers,Between the Covers,书页之间,—,Valeria Luiselli : Beginning Middle End,瓦莱里娅·路易塞利谈新作,2026-07-27,文学·拉美,,0kghiITKgeWqnSZkNJUC8Z,https://open.spotify.com/episode/0kghiITKgeWqnSZkNJUC8Z,Valeria Luiselli : Beginning Middle End,other
geeksguide,Geek's Guide to the Galaxy,极客银河指南,—,575. Rendezvous with Rama by Arthur C. Clarke Review,第 575 期：阿瑟·克拉克《与拉玛相会》书评,2024-07-27,科幻·克拉克,,0v3m8tYhj5vvwaAtqYPcNf,https://open.spotify.com/episode/0v3m8tYhj5vvwaAtqYPcNf,"575. Rendezvous with Rama by Arthur C. Clarke Review (with Matthew Kressel, Anthony Ha, Sara Lynn Michener)",other
geeksguide,Geek's Guide to the Galaxy,极客银河指南,—,434. Foundation by Isaac Asimov Review,第 434 期：阿西莫夫《基地》书评,2020-10-02,科幻·阿西莫夫,,0qkkmQQn5tVMgQsNL1fUMK,https://open.spotify.com/episode/0qkkmQQn5tVMgQsNL1fUMK,"434. Foundation by Isaac Asimov Review (with Anthony Ha, John Kessel, Abby Goldsmith)",other
parisreview,The Paris Review,巴黎评论,—,"Inside the Issue | ""I Don't Do Innocents: A Radio Play in One Act"" by Anne Carson",刊内独家：安妮·卡森《我不做无辜者》独幕广播剧,2026-03-04,文学·诗歌,,4hcJl0Cg78oGndV7XqvsJV,https://open.spotify.com/episode/4hcJl0Cg78oGndV7XqvsJV,Inside the Issue | “I Don’t Do Innocents: A Radio Play in One Act” by Anne Carson,other
backlisted,Backlisted,绝版好书榜,—,Science Fiction Special,科幻特辑：被低估的科幻老书,2023-02-21,文学·科幻经典,,5R2NbEUIQM1ksOBxrrjMnC,https://open.spotify.com/episode/5R2NbEUIQM1ksOBxrrjMnC,Science Fiction Special,other
historyhit,Dan Snow's History Hit,丹·斯诺历史直击,—,How Did Japan Become A Superpower?,日本如何成为超级大国？,2026-05-07,历史·日本,,0gPOmd1ym8kEikdRLsEL7V,https://open.spotify.com/episode/0gPOmd1ym8kEikdRLsEL7V,How Did Japan Become A Superpower?,other
longnow,Long Now,漫长的当下,—,Kim Stanley Robinson & Stephen Heintz: A Logic For The Future,金·斯坦利·罗宾逊 × 斯蒂芬·海因茨：未来的逻辑,2025-05-01,思想·未来,,2Ap0M2U5xnwrkRa53DeLI3,https://open.spotify.com/episode/2Ap0M2U5xnwrkRa53DeLI3,Kim Stanley Robinson & Stephen Heintz: A Logic For The Future,other
lrb,The LRB Podcast,伦敦书评播客,—,Poetry and the Turning World: Technology,诗歌与转向中的世界：技术,2026-06-14,文学·诗歌×技术,,5wq2HIHe1T7YCKlT2OHj7u,https://open.spotify.com/episode/5wq2HIHe1T7YCKlT2OHj7u,Poetry and the Turning World: Technology,other
sinica,Sinica Podcast,中国纵横,—,The Platform State: Angela Zhang and Alex Yang on How China Really Governs Its Economy,平台型国家：中国如何真正治理其经济,2026-07-08,中国·平台经济,,2xCs4xM131gGb7vUm8dUj0,https://open.spotify.com/episode/2xCs4xM131gGb7vUm8dUj0,The Platform State: Angela Zhang and Alex Yang on How China Really Governs Its Economy,other
candidframe,The Candid Frame,坦率的取景框,—,TCF Ep. 401 - MSPF: NYC Street Photography Panel,纽约街头摄影圆桌（MSPF）,2017-12-27,摄影·街头,,6r1xWEOesAJiHefv0sw4T7,https://open.spotify.com/episode/6r1xWEOesAJiHefv0sw4T7,TCF Ep. 401 - MSPF: NYC Street Photography Panel,other
videoarchives,The Video Archives Podcast with Quentin Tarantino & Roger Avary,录像档案播客（昆汀·塔伦蒂诺 × 罗杰·艾弗里）,—,Quentin & Roger Introduce Video Archives,昆汀与罗杰开箱 Video Archives（节目开篇 · 入门首听）,2022-07-12,电影·塔伦蒂诺,,2NaVyq4LVI3S9oTV1qENhl,https://open.spotify.com/episode/2NaVyq4LVI3S9oTV1qENhl,Quentin & Roger Introduce Video Archives,other
videoarchives,The Video Archives Podcast with Quentin Tarantino & Roger Avary,录像档案播客（昆汀·塔伦蒂诺 × 罗杰·艾弗里）,—,116 - Straw Dogs,第 116 期：《稻草狗》——佩金帕的暴力伦理学,2023-02-14,电影·佩金帕,,0Eucn7ylNidl90hq0O5w1T,https://open.spotify.com/episode/0Eucn7ylNidl90hq0O5w1T,116 - Straw Dogs,other
videoarchives,The Video Archives Podcast with Quentin Tarantino & Roger Avary,录像档案播客（昆汀·塔伦蒂诺 × 罗杰·艾弗里）,—,111 - The Private Life Of Sherlock Holmes / The Light At The Edge Of The World / Hostages (with Jacqueline Coley),第 111 期：《福尔摩斯的私生活》——比利·怀尔德的遗珠,2022-12-06,电影·比利·怀尔德,,3ZZU0lWrtBiVtXrUXqvCEs,https://open.spotify.com/episode/3ZZU0lWrtBiVtXrUXqvCEs,111 - The Private Life Of Sherlock Holmes / The Light At The Edge Of The World / Hostages (with Jacqueline Coley),other
ymrt,You Must Remember This,你是否还记得（好莱坞秘史）,—,"44: Charles Manson’s Hollywood, Part 1: What We Talk About When We Talk About The Manson Murders",曼森的好莱坞 第 1 集：当我们谈论曼森谋杀案时在谈论什么（《好莱坞往事》前史）,2015-05-26,影史·曼森,,65iDwowEl6eZF5JV5qpW5K,https://open.spotify.com/episode/65iDwowEl6eZF5JV5qpW5K,"44: Charles Manson’s Hollywood, Part 1: What We Talk About When We Talk About The Manson Murders",other
ymrt,You Must Remember This,你是否还记得（好莱坞秘史）,—,100: Marilyn Monroe: The End (Dead Blondes Part 8),梦露之终（金发亡魂系列第 8 集）,2017-03-21,影史·梦露,,3pFuQzNWkiWPFs81CLtsmm,https://open.spotify.com/episode/3pFuQzNWkiWPFs81CLtsmm,100: Marilyn Monroe: The End (Dead Blondes Part 8),other
filmspotting,Filmspotting,电影 spotting,—,The Odyssey: Nolan Makes the Ancient Epic His Own,《奥德赛》：诺兰如何把古代史诗拍成自己的电影,2026-07-24,电影·诺兰,,05rT7QKMS9NSbVI9WtXjwn,https://open.spotify.com/episode/05rT7QKMS9NSbVI9WtXjwn,The Odyssey: Nolan Makes the Ancient Epic His Own,other
filmspotting,Filmspotting,电影 spotting,—,Top 5 Films of 1987 | Archive,1987 年度五佳（档案复刻）,2026-06-03,电影·年度片单,,6XpPbbbHXxaDpdMLXJWWCb,https://open.spotify.com/episode/6XpPbbbHXxaDpdMLXJWWCb,Top 5 Films of 1987 | Archive,other
screendrafts,Screen Drafts,银幕选秀,—,COEN BROS. SUPER DRAFT (with Bryan Cogman),科恩兄弟超级选秀（嘉宾《权游》编剧 Bryan Cogman）,2020-06-22,电影·科恩兄弟,,26xfTxTWOaehq2FtHvPOYm,https://open.spotify.com/episode/26xfTxTWOaehq2FtHvPOYm,COEN BROS. SUPER DRAFT (with Bryan Cogman),other
screendrafts,Screen Drafts,银幕选秀,—,KUBRICK (with Jeff Jensen & Darren Franich),库布里克选秀：从《杀手》到《大开眼戒》排座次,2019-03-27,电影·库布里克,,13uPLxUU8322ivIoEhZDgU,https://open.spotify.com/episode/13uPLxUU8322ivIoEhZDgU,KUBRICK (with Jeff Jensen & Darren Franich),other
teamdeakins,Team Deakins,迪金斯团队,—,Denis Villeneuve - Director,丹尼斯·维伦纽瓦：从《降临》到《沙丘》的影像之道,2020-07-08,电影·维伦纽瓦,,2aQFik1ukqNJPRCAbWHgJt,https://open.spotify.com/episode/2aQFik1ukqNJPRCAbWHgJt,Denis Villeneuve - Director,other
teamdeakins,Team Deakins,迪金斯团队,—,"Frances McDormand - Actress, Producer",弗兰西斯·麦克多蒙德：表演、制片与科恩兄弟电影,2021-03-21,电影·麦克多蒙德,,6WOQ3akwa3Jsb70tAiJXAB,https://open.spotify.com/episode/6WOQ3akwa3Jsb70tAiJXAB,"Frances McDormand - Actress, Producer",other
newyorkerfiction,The New Yorker: Fiction,纽约客小说播客,—,Mohsin Hamid Reads Haruki Murakami,莫欣·哈米德读村上春树（2026 新篇）,2026-08-01,文学·村上春树,,20olKhw8nr8lJpGjrcmj3q,https://open.spotify.com/episode/20olKhw8nr8lJpGjrcmj3q,Mohsin Hamid Reads Haruki Murakami,other
newyorkerfiction,The New Yorker: Fiction,纽约客小说播客,—,Margaret Atwood Reads Alice Munro,玛格丽特·阿特伍德读爱丽丝·门罗,2019-08-01,文学·门罗,,0TJiFolFXklB1yJp21ypmR,https://open.spotify.com/episode/0TJiFolFXklB1yJp21ypmR,Margaret Atwood Reads Alice Munro,other
bookworm,Bookworm,书虫（KCRW）,—,Toni Morrison: Beloved,托妮·莫里森谈《宠儿》（Silverblatt 经典访谈）,2019-08-15,文学·莫里森,,2AV6lmsZ2zYUQXoxezMx0e,https://open.spotify.com/episode/2AV6lmsZ2zYUQXoxezMx0e,Toni Morrison: Beloved,other
bookworm,Bookworm,书虫（KCRW）,—,Kazuo Ishiguro: “Klara and the Sun”,石黑一雄谈《克拉拉与太阳》（AI 时代的诺奖作家）,2021-04-08,文学·石黑一雄,,09RfBf0AcftrMCcznGmNZ4,https://open.spotify.com/episode/09RfBf0AcftrMCcznGmNZ4,Kazuo Ishiguro: “Klara and the Sun”,other
literaryfriction,Literary Friction,文学摩擦,—,Literary Friction - Constraint with Maggie Nelson,与玛吉·尼尔森谈“约束”：限制如何生成写作,2021-10-07,文学评论·尼尔森,,79JKzBHbstm0z1q3EuJxjc,https://open.spotify.com/episode/79JKzBHbstm0z1q3EuJxjc,Literary Friction - Constraint with Maggie Nelson,other
literaryfriction,Literary Friction,文学摩擦,—,Literary Friction - Feminism with Sara Ahmed,与萨拉·艾哈迈德谈女性主义：《过一种女性主义的生活》,2023-04-26,文学评论·艾哈迈德,,7ydPDX85O2sQgXjDU8ANwi,https://open.spotify.com/episode/7ydPDX85O2sQgXjDU8ANwi,Literary Friction - Feminism with Sara Ahmed,other
inourtimeculture,In Our Time: Culture,我们的时代：文化,—,Middlemarch,《米德尔马契》：乔治·艾略特的显微镜（三位学者导读）,2018-04-19,文学·乔治·艾略特,,32F8CznFc3rPoADvlLXuO5,https://open.spotify.com/episode/32F8CznFc3rPoADvlLXuO5,Middlemarch,other
inourtimeculture,In Our Time: Culture,我们的时代：文化,—,The Seventh Seal,《第七封印》：伯格曼与死神对弈,2023-10-19,文化·伯格曼,,4cCzbPeCbrgxdTspA2ZRd1,https://open.spotify.com/episode/4cCzbPeCbrgxdTspA2ZRd1,The Seventh Seal,other
asmallvoice,A Small Voice: Conversations with photographers and filmmakers,小小声音（摄影深访）,—,192 - Stephen Shore,Stephen Shore 亲述：从《Uncommon Places》到 iPhone 时代,2022-11-23,摄影·Stephen Shore,,0dEWUgeKjbqwkdC7hYyi5G,https://open.spotify.com/episode/0dEWUgeKjbqwkdC7hYyi5G,192 - Stephen Shore,other
photowork,PhotoWork with Sasha Wolf - Photography Podcast,摄影作品（Sasha Wolf 访谈）,—,Alec Soth - Episode 43,Alec Soth 谈职业生涯与摄影书,2022-05-19,摄影·Alec Soth,,0XeiX9FWz2LNJeQ5gP59OA,https://open.spotify.com/episode/0XeiX9FWz2LNJeQ5gP59OA,Alec Soth - Episode 43,other
abrushwith,A brush with...,艺术之笔（Art Newspaper 艺术家自述）,—,A brush with… Wolfgang Tillmans,Wolfgang Tillmans 自述影响图谱,2025-09-30,摄影·Tillmans,,3pVmKyZYqhAWfOlMfzbhwT,https://open.spotify.com/episode/3pVmKyZYqhAWfOlMfzbhwT,A brush with… Wolfgang Tillmans,other
talkart,Talk Art,聊艺术（Tovey × Diament）,—,Wolfgang Tillmans (QuarARTine special episode),隔离时期的 Tillmans 特辑,2020-07-27,摄影·Tillmans,,0K1IEm1RD8b19WrOhdiifV,https://open.spotify.com/episode/0K1IEm1RD8b19WrOhdiifV,Wolfgang Tillmans (QuarARTine special episode),other
artangle,The Art Angle,艺术视角（Artnet 新闻）,—,How the Universe Taught Wolfgang Tillmans to Make Art,宇宙如何教会 Tillmans 做艺术,2022-09-23,摄影·Tillmans,,41nS9eI15dtzHWcdcm9Rlb,https://open.spotify.com/episode/41nS9eI15dtzHWcdcm9Rlb,How the Universe Taught Wolfgang Tillmans to Make Art,other
areweonair,ARE WE ON AIR ?,我们开播了吗（文化名流原声）,—,Ep 39 // WOLFGANG TILLMANS,Tillmans 的人生原声带,2020-12-18,摄影·Tillmans,,6L4N8NnqzAPbuDXObxrxRX,https://open.spotify.com/episode/6L4N8NnqzAPbuDXObxrxRX,Ep 39 // WOLFGANG TILLMANS,other
analogtalk,Analog Talk,胶片漫谈,—,154. Alec Soth,Alec Soth 长谈（胶片社区视角）,2022-05-25,摄影·Alec Soth,,5eTnQXgZoBJylI0z0wcFr6,https://open.spotify.com/episode/5eTnQXgZoBJylI0z0wcFr6,154. Alec Soth,other
messytruth,The Messy Truth - Conversations on Photography,摄影的真相（Gem Fletcher）,—,Alec Soth - On Portraiture,Alec Soth 论肖像摄影,2020-07-23,摄影·Alec Soth,,6D8vCIaQuV9vO6QfKWY1G7,https://open.spotify.com/episode/6D8vCIaQuV9vO6QfKWY1G7,Alec Soth - On Portraiture,other
righteyedominant,Right Eye Dominant,右眼主导（Nick Tauro Jr.）,—,"Alec Soth: Looking Out, Looking In",Alec Soth：向外看，向内看,2025-02-18,摄影·Alec Soth,,69PMZrzRbYnWcgkzdEv3rf,https://open.spotify.com/episode/69PMZrzRbYnWcgkzdEv3rf,"Alec Soth: Looking Out, Looking In",other
fost,Future of StoryTelling (FoST),故事的未来,—,Photos and Stories — Stephen Shore,Stephen Shore：照片与故事,2023-10-05,摄影·Stephen Shore,,1SFn5lJlZYOxqGVUtddz4d,https://open.spotify.com/episode/1SFn5lJlZYOxqGVUtddz4d,Photos and Stories — Stephen Shore,other
emulsions,Emulsions Podcast,乳剂（胶片摄影播客）,—,Stephen Shore,Stephen Shore 长访（2023）,2023-08-31,摄影·Stephen Shore,,2ngcNPiHMazLoQdeXwprr4,https://open.spotify.com/episode/2ngcNPiHMazLoQdeXwprr4,Stephen Shore,other
