disc,year,key,words,B1_weak_n,B1_weak_per10k,B2_mid_n,B2_mid_per10k,B3_strong_n,B3_strong_per10k,ep_hedge_n,ep_hedge_per10k
dourish,,HR6MJJKW,7883,2,2.54,17,21.57,15,19.03,75,95.14
dourish,,YVLX2BLE,7505,1,1.33,9,11.99,12,15.99,23,30.65
dourish,,UIM5QHN8,9757,1,1.02,20,20.5,11,11.27,61,62.52
dourish,,KYFV77FG,8563,1,1.17,11,12.85,18,21.02,42,49.05
dourish,,XLAE26Q3,98510,44,4.47,199,20.2,201,20.4,570,57.86
dourish,,6B9FBNV7,8007,1,1.25,19,23.73,25,31.22,48,59.95
dourish,,ECF4NSWD,9575,4,4.18,15,15.67,16,16.71,51,53.26
dourish,,6MZXUKPS,13395,5,3.73,41,30.61,43,32.1,72,53.75
dourish,,DZIFFXXA,7994,1,1.25,14,17.51,16,20.02,66,82.56
dourish,,QYEUYSTW,1435,0,0.0,2,13.94,1,6.97,5,34.84
dourish,,Y34372N3,7605,4,5.26,22,28.93,20,26.3,40,52.6
dourish,,JUR2RVIM,1008,0,0.0,0,0.0,1,9.92,2,19.84
dourish,,38T56WX2,9703,2,2.06,40,41.22,17,17.52,51,52.56
dourish,,QS2Q95NU,80920,14,1.73,150,18.54,160,19.77,388,47.95
dourish,,SOB,83522,51,6.11,162,19.4,201,24.07,621,74.35
hci,2004,hci_BJBUSDVZ,5233,1,1.91,2,3.82,6,11.47,22,42.04
hci,2004,hci_B93UANNH,5793,1,1.73,5,8.63,16,27.62,42,72.5
hci,2007,hci_DZIFFXXA,7994,1,1.25,14,17.51,16,20.02,66,82.56
hci,2008,hci_JAWM4XHK,3045,0,0.0,0,0.0,11,36.12,32,105.09
hci,2009,hci_UCP6UV9P,7236,0,0.0,2,2.76,10,13.82,52,71.86
hci,2012,hci_LMQWN954,7467,1,1.34,17,22.77,15,20.09,50,66.96
hci,2014,hci_BGH8LAZJ,7224,4,5.54,1,1.38,11,15.23,37,51.22
hci,2015,hci_XC8TJCXY,8189,2,2.44,5,6.11,8,9.77,52,63.5
hci,2015,hci_UAYJ5F78,6884,3,4.36,2,2.91,3,4.36,17,24.69
hci,2015,hci_JPWPIW35,9020,3,3.33,17,18.85,23,25.5,59,65.41
hci,2015,hci_D4XGT4Q9,8203,6,7.31,2,2.44,15,18.29,55,67.05
hci,2016,hci_GCZ9DB99,9709,1,1.03,14,14.42,10,10.3,30,30.9
hci,2016,hci_3LUKD98A,8320,2,2.4,1,1.2,29,34.86,99,118.99
hci,2016,hci_6K28XYF3,8315,1,1.2,11,13.23,12,14.43,31,37.28
hci,2017,hci_XTK92DK3,8887,4,4.5,2,2.25,23,25.88,52,58.51
hci,2017,hci_5HJH3CSV,8523,12,14.08,11,12.91,29,34.03,60,70.4
hci,2017,hci_RBRS4MTD,9524,4,4.2,6,6.3,9,9.45,51,53.55
hci,2018,hci_HAEELBYH,5087,0,0.0,0,0.0,8,15.73,6,11.79
hci,2018,hci_ENHQ9QAG,7765,3,3.86,6,7.73,7,9.01,26,33.48
hci,2019,hci_EV4LZAIT,14276,6,4.2,10,7.0,26,18.21,96,67.25
hci,2019,hci_CZXCNY39,9156,2,2.18,8,8.74,31,33.86,81,88.47
hci,2020,hci_VB2L4NS3,11957,0,0.0,4,3.35,5,4.18,16,13.38
hci,2020,hci_V99ZG7FD,10365,4,3.86,2,1.93,22,21.23,50,48.24
hci,2020,hci_HT2JX9ZJ,9812,23,23.44,3,3.06,17,17.33,115,117.2
hci,2020,hci_A446C4UL,9268,5,5.39,2,2.16,18,19.42,23,24.82
hci,2021,hci_ANMAF2GU,10336,0,0.0,5,4.84,6,5.8,37,35.8
hci,2021,hci_32UTNLYM,9307,1,1.07,5,5.37,64,68.77,55,59.1
hci,,hci_ZZZ5YTFX,14665,6,4.09,2,1.36,35,23.87,72,49.1
hci,,hci_67N9WQ6A,7523,4,5.32,14,18.61,18,23.93,57,75.77
hci,,hci_YMB74YVZ,7944,2,2.52,2,2.52,9,11.33,35,44.06
hci,,hci_GTGMBMG2,8776,14,15.95,13,14.81,31,35.32,55,62.67
hci,,hci_VQH6UKGG,7341,3,4.09,3,4.09,18,24.52,59,80.37
hci,,hci_JTVWR7HA,10646,7,6.58,2,1.88,5,4.7,30,28.18
hci,,hci_I6DEJTHY,8007,13,16.24,7,8.74,6,7.49,78,97.41
hci,,hci_2CGPSFQ8,11429,5,4.37,7,6.12,13,11.37,82,71.75
hci,,hci_S8LUF26M,13575,3,2.21,1,0.74,13,9.58,31,22.84
hci,,hci_A2VTEUQE,2997,1,3.34,3,10.01,12,40.04,40,133.47
hci,,hci_NKPEPVHX,2758,0,0.0,0,0.0,3,10.88,27,97.9
hci,,hci_9R8QPC9S,11080,5,4.51,8,7.22,26,23.47,64,57.76
hci,,hci_MBL2MQ6N,7013,1,1.43,10,14.26,7,9.98,23,32.8
hci,,hci_FQHLEXDU,10700,3,2.8,5,4.67,38,35.51,55,51.4
hci,,hci_VBZTR6A5,12284,7,5.7,4,3.26,16,13.03,144,117.23
hci,,hci_IN2G3JTE,9570,10,10.45,4,4.18,9,9.4,64,66.88
hci,,hci_FDMMZA75,6691,3,4.48,7,10.46,14,20.92,25,37.36
hci,,hci_3WKMV7S7,2528,1,3.96,2,7.91,7,27.69,11,43.51
hci,,hci_TA5V2C2U,14298,12,8.39,14,9.79,18,12.59,98,68.54
hci,,hci_QFBMIWWD,12875,0,0.0,5,3.88,15,11.65,71,55.15
hci,,hci_F5Y35W3N,1652,0,0.0,0,0.0,0,0.0,0,0.0
hci,,hci_AVLTWBT7,7800,5,6.41,5,6.41,15,19.23,24,30.77
hci,,hci_ZLKJ6TJ6,7792,0,0.0,8,10.27,12,15.4,32,41.07
hci,,hci_AI7742Y2,11635,4,3.44,1,0.86,27,23.21,69,59.3
hci,,hci_9I65QLMW,8014,1,1.25,3,3.74,8,9.98,60,74.87
hci,,hci_AALZD93V,15523,1,0.64,7,4.51,8,5.15,78,50.25
hci,,hci_MSGYHXLF,7305,3,4.11,7,9.58,17,23.27,32,43.81
hci,,hci_7Q5SZNNW,7095,1,1.41,7,9.87,12,16.91,56,78.93
hci,,hci_XWT5TSX2,12140,6,4.94,8,6.59,22,18.12,46,37.89
hci,,hci_BCU56V4Z,8093,0,0.0,10,12.36,8,9.89,47,58.07
hci,,hci_59M8YGBX,8455,1,1.18,3,3.55,7,8.28,62,73.33
hci,,hci_3ZL9HQS9,18467,0,0.0,11,5.96,24,13.0,59,31.95
hci,,hci_HMJCJJ6X,10337,3,2.9,9,8.71,17,16.45,56,54.17
hci,,hci_IC95W75U,8671,6,6.92,8,9.23,27,31.14,39,44.98
hci,,hci_49IWG75J,7278,8,10.99,8,10.99,10,13.74,74,101.68
hci,,hci_6X6M3IAK,6223,0,0.0,7,11.25,17,27.32,44,70.71
hci,,hci_G29FD98V,6134,2,3.26,7,11.41,12,19.56,35,57.06
hci,,hci_PEQW3J27,9062,5,5.52,1,1.1,15,16.55,68,75.04
hci,,hci_3YIGNP46,10445,4,3.83,0,0.0,7,6.7,62,59.36
hci,,hci_HAMXCJ2P,8554,3,3.51,4,4.68,31,36.24,58,67.8
hci,,hci_BWFPF9PY,12243,12,9.8,6,4.9,26,21.24,74,60.44
hci,,hci_NV4F652K,7717,0,0.0,10,12.96,11,14.25,74,95.89
hci,,hci_XP8U9EVW,7010,5,7.13,8,11.41,15,21.4,74,105.56
hci,,hci_YFMGS7AM,9868,1,1.01,5,5.07,12,12.16,121,122.62
hci,,hci_WWZUTAS8,13448,1,0.74,3,2.23,20,14.87,53,39.41
hci,,hci_7Q7F2SUA,7341,1,1.36,8,10.9,8,10.9,37,50.4
hci,,hci_SRWQG3NZ,8300,3,3.61,6,7.23,23,27.71,62,74.7
hci,,hci_ID9752ZF,8031,1,1.25,5,6.23,9,11.21,28,34.86
hci,,hci_3WVGS26M,9176,2,2.18,21,22.89,27,29.42,51,55.58
hci,,hci_ZPF3YS9N,8119,2,2.46,16,19.71,15,18.48,36,44.34
hci,,hci_E93V7EEA,7712,4,5.19,14,18.15,9,11.67,33,42.79
hci,,hci_6N9S4PNC,13979,1,0.72,7,5.01,9,6.44,114,81.55
hci,,hci_V345RHAU,3367,0,0.0,1,2.97,5,14.85,15,44.55
hci,,hci_NYUACCSQ,6223,1,1.61,4,6.43,6,9.64,57,91.6
hci,,hci_LW3SIEKJ,8980,3,3.34,4,4.45,7,7.8,73,81.29
hci,,hci_UMLGGF6V,7288,3,4.12,6,8.23,19,26.07,51,69.98
hci,,hci_FVXGLFR2,8078,4,4.95,6,7.43,7,8.67,38,47.04
hci,,hci_6QBF6KCZ,9272,7,7.55,6,6.47,19,20.49,89,95.99
hci,,hci_6B9FBNV7,8007,1,1.25,19,23.73,25,31.22,48,59.95
hci,,hci_K6MWVWA4,7314,9,12.31,4,5.47,16,21.88,68,92.97
hci,,hci_V7RK7UVQ,7374,1,1.36,10,13.56,12,16.27,25,33.9
hci,,hci_5Q4AWJF2,10338,7,6.77,8,7.74,8,7.74,81,78.35
hci,,hci_YYBT898X,11900,9,7.56,23,19.33,19,15.97,78,65.55
hci,,hci_FYN85G8W,8083,0,0.0,14,17.32,12,14.85,118,145.99
hci,,hci_6KXKPWBJ,6676,2,3.0,11,16.48,9,13.48,23,34.45
hci,,hci_UUB9BZ92,8519,5,5.87,4,4.7,18,21.13,59,69.26
hci,,hci_6G6RIFTZ,3235,2,6.18,2,6.18,14,43.28,22,68.01
se,2000,se_WQGL844W,8081,3,3.71,6,7.42,4,4.95,33,40.84
se,2004,se_52YVQJKY,2982,3,10.06,2,6.71,8,26.83,26,87.19
se,2004,se_K7FHUDK4,9869,6,6.08,2,2.03,30,30.4,55,55.73
se,2005,se_TRSGEDPR,20465,8,3.91,14,6.84,43,21.01,64,31.27
se,2005,se_VBZTJVPD,9020,1,1.11,4,4.43,7,7.76,34,37.69
se,2006,se_77NN4H5W,7887,4,5.07,4,5.07,7,8.88,25,31.7
se,2006,se_FQUZ7L7H,5748,1,1.74,6,10.44,19,33.05,16,27.84
se,2006,se_B2DGF583,8570,2,2.33,1,1.17,26,30.34,25,29.17
se,2006,se_KC4357SS,7390,2,2.71,3,4.06,13,17.59,31,41.95
se,2007,se_U54CX4B3,8132,5,6.15,5,6.15,9,11.07,39,47.96
se,2007,se_IN2FBZGN,5647,2,3.54,4,7.08,15,26.56,17,30.1
se,2009,se_2HFLHXSX,2940,1,3.4,0,0.0,1,3.4,2,6.8
se,2009,se_FS387W6F,21541,4,1.86,12,5.57,13,6.04,43,19.96
se,2009,se_KDLUVQQU,11136,5,4.49,5,4.49,11,9.88,49,44.0
se,2009,se_BNQBE7DX,17232,9,5.22,13,7.54,17,9.87,83,48.17
se,2011,se_AJXJ2TB2,10365,1,0.96,10,9.65,18,17.37,85,82.01
se,2011,se_CFLM3XCN,9025,3,3.32,8,8.86,11,12.19,29,32.13
se,2012,se_3V8XTENW,15538,9,5.79,9,5.79,20,12.87,64,41.19
se,2012,se_9ADRBZPA,9943,3,3.02,8,8.05,19,19.11,48,48.28
se,2014,se_GMD38D3A,15204,3,1.97,4,2.63,18,11.84,45,29.6
se,2014,se_2LAAXIBG,8871,2,2.25,3,3.38,18,20.29,37,41.71
se,2014,se_QW6UF4VJ,10656,7,6.57,6,5.63,23,21.58,85,79.77
se,2014,se_2E6P6UTT,9092,1,1.1,2,2.2,28,30.8,105,115.49
se,2014,se_4R59FIBG,9666,0,0.0,6,6.21,2,2.07,46,47.59
se,2014,se_ICRRAFEG,9857,3,3.04,7,7.1,15,15.22,39,39.57
se,2014,se_LKTA26PG,11492,4,3.48,4,3.48,8,6.96,35,30.46
se,2015,se_W9493QCH,11104,4,3.6,5,4.5,23,20.71,55,49.53
se,2015,se_PH6MNR44,7797,2,2.57,3,3.85,9,11.54,26,33.35
se,2015,se_AWK6A9B9,12384,3,2.42,3,2.42,17,13.73,37,29.88
se,2015,se_ZYIWW9IT,10688,10,9.36,16,14.97,19,17.78,59,55.2
se,2016,se_RGF3UW4B,12083,2,1.66,3,2.48,12,9.93,45,37.24
se,2016,se_GD9U7NRU,10292,2,1.94,7,6.8,22,21.38,31,30.12
se,2016,se_IEG6XSS4,9328,2,2.14,3,3.22,16,17.15,37,39.67
se,2017,se_YUGX4FEC,10226,2,1.96,0,0.0,16,15.65,19,18.58
se,2017,se_X8GUG4HX,16740,7,4.18,5,2.99,42,25.09,117,69.89
se,2017,se_BE8MF9QN,8538,4,4.68,10,11.71,10,11.71,39,45.68
se,2017,se_CJNN26JP,10724,3,2.8,6,5.59,17,15.85,26,24.24
se,2018,se_HSA7JCEZ,10007,2,2.0,3,3.0,6,6.0,38,37.97
se,2018,se_VH6R9BJR,26749,0,0.0,18,6.73,36,13.46,87,32.52
se,2019,se_XF787678,10760,2,1.86,2,1.86,12,11.15,24,22.3
se,2019,se_TS33NJTW,14264,6,4.21,6,4.21,12,8.41,47,32.95
se,2020,se_DLJVF3T4,16029,11,6.86,7,4.37,33,20.59,64,39.93
se,2021,se_C7B67DQZ,13165,2,1.52,2,1.52,29,22.03,26,19.75
se,2022,se_GR7YLIXR,10952,2,1.83,4,3.65,9,8.22,71,64.83
se,2022,se_JBQI2GTX,12369,1,0.81,5,4.04,22,17.79,102,82.46
se,2022,se_3Q8Y9Z52,16667,3,1.8,6,3.6,38,22.8,40,24.0
se,2023,se_W6YDWBQN,12125,1,0.82,6,4.95,19,15.67,75,61.86
se,,se_CBA2D5ZT,9930,1,1.01,9,9.06,11,11.08,51,51.36
se,,se_NMGEI6CZ,9596,1,1.04,7,7.29,13,13.55,17,17.72
se,,se_Q9EPL7TK,11917,6,5.03,6,5.03,27,22.66,76,63.77
se,,se_DYQ6UQEJ,5356,2,3.73,5,9.34,10,18.67,17,31.74
se,,se_K4SDIETJ,9431,3,3.18,3,3.18,13,13.78,37,39.23
se,,se_KK8N9DQC,9270,4,4.31,1,1.08,13,14.02,49,52.86
se,,se_99KK9FKI,8250,1,1.21,5,6.06,17,20.61,33,40.0
se,,se_I7TRIY3K,7845,1,1.27,3,3.82,11,14.02,28,35.69
se,,se_YNCWVWN6,13621,2,1.47,9,6.61,8,5.87,99,72.68
se,,se_3EI267H4,7973,2,2.51,0,0.0,16,20.07,30,37.63
se,,se_C5M3PIW9,11247,2,1.78,2,1.78,25,22.23,81,72.02
se,,se_EY2R3X5Q,10249,6,5.85,5,4.88,8,7.81,26,25.37
se,,se_Z46Z7N6Z,9503,10,10.52,8,8.42,10,10.52,50,52.61
se,,se_2CC6CCGB,12298,5,4.07,9,7.32,20,16.26,55,44.72
se,,se_UQE6LVXM,8861,6,6.77,21,23.7,42,47.4,68,76.74
se,,se_U7NCGKFV,6660,1,1.5,0,0.0,11,16.52,16,24.02
se,,se_U72TRQ4B,12274,4,3.26,3,2.44,21,17.11,64,52.14
se,,se_SM95NZBQ,12625,8,6.34,8,6.34,50,39.6,52,41.19
se,,se_MHTVU985,7060,3,4.25,3,4.25,6,8.5,35,49.58
se,,se_VDX4VMUK,8852,3,3.39,5,5.65,8,9.04,23,25.98
se,,se_CCMFNFLW,9519,5,5.25,12,12.61,24,25.21,64,67.23
se,,se_5P6U8LP9,5047,0,0.0,2,3.96,3,5.94,12,23.78
se,,se_F5TNE7XJ,9168,3,3.27,3,3.27,14,15.27,11,12.0
se,,se_9S6AC5KR,14879,7,4.7,16,10.75,17,11.43,65,43.69
se,,se_F7ZI9HMQ,3419,0,0.0,1,2.92,0,0.0,4,11.7
se,,se_VXQXIEAW,8397,4,4.76,10,11.91,33,39.3,60,71.45
se,,se_D7564C5J,16266,3,1.84,7,4.3,28,17.21,86,52.87
se,,se_L898PHJI,9589,4,4.17,1,1.04,4,4.17,34,35.46
se,,se_PHL6G5S5,8469,3,3.54,1,1.18,13,15.35,52,61.4
se,,se_CJRCTN84,6771,1,1.48,2,2.95,7,10.34,15,22.15
se,,se_VY2LYY9M,8858,3,3.39,3,3.39,11,12.42,21,23.71
se,,se_78U8DZKE,8009,4,4.99,10,12.49,22,27.47,58,72.42
se,,se_5FQRNS76,8078,0,0.0,0,0.0,2,2.48,33,40.85
se,,se_N95NR59F,8582,1,1.17,1,1.17,4,4.66,51,59.43
se,,se_8DKIRIBV,19073,11,5.77,12,6.29,23,12.06,85,44.57
se,,se_2ZRNRIA9,8647,4,4.63,7,8.1,13,15.03,26,30.07
se,,se_YZGPVQKA,10574,7,6.62,1,0.95,19,17.97,30,28.37
se,,se_25CRVYCG,8301,7,8.43,4,4.82,9,10.84,46,55.42
se,,se_AJGIHAIG,8667,1,1.15,1,1.15,9,10.38,76,87.69
se,,se_C5EBN5IH,13303,6,4.51,4,3.01,28,21.05,59,44.35
se,,se_52D9MUEH,12443,7,5.63,11,8.84,4,3.21,105,84.38
se,,se_KVYCPTAL,8360,0,0.0,0,0.0,4,4.78,18,21.53
se,,se_9KYMPTXJ,6908,3,4.34,3,4.34,10,14.48,33,47.77
se,,se_7DP4K2M7,7770,3,3.86,2,2.57,13,16.73,35,45.05
se,,se_D8KG8D6Q,11376,1,0.88,9,7.91,22,19.34,45,39.56
se,,se_ZWTA7T22,9754,2,2.05,2,2.05,6,6.15,6,6.15
se,,se_5JVY47GI,8054,1,1.24,5,6.21,17,21.11,56,69.53
se,,se_TSZS8RNU,9011,4,4.44,3,3.33,20,22.2,41,45.5
se,,se_XHTLF4FK,11064,1,0.9,5,4.52,18,16.27,39,35.25
se,,se_7DAKG28S,10470,7,6.69,16,15.28,38,36.29,60,57.31
se,,se_NU8C692E,9504,5,5.26,6,6.31,27,28.41,84,88.38
se,,se_SAL5PIKJ,5529,2,3.62,4,7.23,8,14.47,30,54.26
se,,se_3Y7KLTWG,8411,1,1.19,3,3.57,18,21.4,34,40.42
se,,se_2DHX3ZQK,13370,13,9.72,9,6.73,22,16.45,53,39.64
se,,se_ECXTHZBC,2936,2,6.81,0,0.0,6,20.44,2,6.81
se,,se_ZC6NNM8S,9605,3,3.12,6,6.25,9,9.37,55,57.26
se,,se_S7LGXQQM,10655,4,3.75,12,11.26,16,15.02,50,46.93
se,,se_IWD7HQVE,11229,3,2.67,7,6.23,7,6.23,32,28.5
se,,se_IN3M2HRQ,11148,9,8.07,4,3.59,5,4.49,70,62.79
se,,se_ZXN7BMJ7,9881,4,4.05,3,3.04,14,14.17,25,25.3
se,,se_N8H9TCQN,12195,5,4.1,3,2.46,19,15.58,44,36.08
se,,se_RCBG2GUG,11437,4,3.5,17,14.86,22,19.24,68,59.46
se,,se_VCZ7X8J8,6747,1,1.48,4,5.93,7,10.37,18,26.68
se,,se_LT5XXHZY,10408,3,2.88,4,3.84,16,15.37,49,47.08
se,,se_D4WXKWA8,8549,3,3.51,4,4.68,2,2.34,83,97.09
se,,se_QX56D4HI,11069,2,1.81,1,0.9,1,0.9,8,7.23
se,,se_5CL35X2X,3108,6,19.31,5,16.09,9,28.96,9,28.96
soc,1975,soc_Q9R9CPJ8,13019,3,2.3,17,13.06,37,28.42,59,45.32
soc,1989,soc_I5GZR62U,16374,3,1.83,20,12.21,47,28.7,54,32.98
soc,2000,soc_BPM5GUTQ,14300,3,2.1,8,5.59,12,8.39,91,63.64
soc,2000,soc_J6GIYRL2,12043,10,8.3,8,6.64,18,14.95,114,94.66
soc,2001,soc_B84VHBT9,12410,8,6.45,22,17.73,24,19.34,68,54.79
soc,2001,soc_KLEYZYNC,10247,14,13.66,15,14.64,36,35.13,49,47.82
soc,2002,soc_E2BG4PWG,11643,5,4.29,6,5.15,19,16.32,69,59.26
soc,2002,soc_QDX3JW42,17629,5,2.84,17,9.64,26,14.75,98,55.59
soc,2003,soc_9LKBNWBU,19633,7,3.57,30,15.28,42,21.39,71,36.16
soc,2004,soc_LBS4279L,15236,7,4.59,17,11.16,37,24.28,90,59.07
soc,2005,soc_J8PEDKRB,29607,9,3.04,24,8.11,49,16.55,91,30.74
soc,2006,soc_SFZ86MGG,18004,8,4.44,14,7.78,32,17.77,103,57.21
soc,2006,soc_2SRH2VD6,16554,3,1.81,24,14.5,33,19.93,92,55.58
soc,2007,soc_FTBY7AFB,12386,4,3.23,8,6.46,47,37.95,65,52.48
soc,2009,soc_G2RJX4MI,19551,15,7.67,16,8.18,67,34.27,152,77.75
soc,2010,soc_SNCKG64M,7866,2,2.54,11,13.98,11,13.98,30,38.14
soc,2015,soc_U7SVWYFM,8072,0,0.0,4,4.96,10,12.39,28,34.69
soc,2016,soc_LFGHMMZA,17749,6,3.38,14,7.89,33,18.59,44,24.79
soc,2017,soc_CSYKWYBK,34508,9,2.61,16,4.64,77,22.31,153,44.34
soc,2018,soc_2FXDT9TJ,3959,4,10.1,1,2.53,18,45.47,44,111.14
soc,2019,soc_XF8KX6VY,14798,1,0.68,2,1.35,10,6.76,24,16.22
soc,2019,soc_P7VJPUCQ,12188,5,4.1,8,6.56,21,17.23,31,25.43
soc,2020,soc_K67FZXGK,20095,14,6.97,23,11.45,35,17.42,94,46.78
soc,2022,soc_87JNZ6AH,13912,6,4.31,5,3.59,18,12.94,110,79.07
soc,2023,soc_MUC45TXY,6734,2,2.97,5,7.43,7,10.4,28,41.58
soc,2025,soc_8WDGE3EM,13482,0,0.0,2,1.48,21,15.58,76,56.37
soc,2026,soc_BHCGVHKQ,10320,13,12.6,12,11.63,26,25.19,54,52.33
soc,,soc_LT5PLP75,21703,15,6.91,10,4.61,39,17.97,188,86.62
soc,,soc_UBTJ2DMV,12603,6,4.76,9,7.14,39,30.95,79,62.68
soc,,soc_WN34QF8C,7398,2,2.7,5,6.76,24,32.44,29,39.2
soc,,soc_B37J7QCL,11951,3,2.51,4,3.35,18,15.06,36,30.12
soc,,soc_7URR7YTR,9665,4,4.14,9,9.31,22,22.76,69,71.39
soc,,soc_3R5VTUN8,3808,2,5.25,6,15.76,7,18.38,13,34.14
soc,,soc_XATZVC26,12711,7,5.51,12,9.44,18,14.16,133,104.63
soc,,soc_4MT4EG7M,8451,3,3.55,6,7.1,15,17.75,40,47.33
soc,,soc_SV4QDDDX,16491,12,7.28,10,6.06,37,22.44,96,58.21
soc,,soc_XAWJVDE4,13135,12,9.14,21,15.99,24,18.27,86,65.47
soc,,soc_AUXINMIC,15208,12,7.89,7,4.6,15,9.86,129,84.82
soc,,soc_UNL9422Y,23122,14,6.05,16,6.92,34,14.7,95,41.09
soc,,soc_5C5LA8H9,17790,4,2.25,7,3.93,13,7.31,77,43.28
soc,,soc_8LRQEA5D,7929,2,2.52,11,13.87,27,34.05,56,70.63
soc,,soc_FX72PGQT,14238,3,2.11,14,9.83,27,18.96,132,92.71
soc,,soc_2UAM35I5,5337,1,1.87,3,5.62,11,20.61,47,88.06
soc,,soc_FP4S2NE2,26643,12,4.5,14,5.25,34,12.76,64,24.02
soc,,soc_PGA9XGP4,26299,1,0.38,9,3.42,41,15.59,96,36.5
soc,,soc_H49ZYLVI,16104,10,6.21,11,6.83,42,26.08,40,24.84
soc,,soc_2KGUYZKL,11325,3,2.65,9,7.95,18,15.89,51,45.03
soc,,soc_VQ6FXHSF,25057,13,5.19,33,13.17,58,23.15,142,56.67
soc,,soc_6PPBIE6Y,24841,12,4.83,20,8.05,34,13.69,87,35.02
soc,,soc_UPQNJH36,13073,5,3.82,4,3.06,15,11.47,66,50.49
soc,,soc_BNBDP4UL,10163,1,0.98,15,14.76,9,8.86,55,54.12
soc,,soc_6XDHGFXB,20345,12,5.9,12,5.9,19,9.34,56,27.53
soc,,soc_AXPBUUDG,16602,10,6.02,5,3.01,32,19.27,170,102.4
soc,,soc_FYXGT2UP,7065,2,2.83,18,25.48,18,25.48,38,53.79
soc,,soc_KIXKWQDG,14094,3,2.13,2,1.42,32,22.7,85,60.31
soc,,soc_H23S9DRT,14986,7,4.67,19,12.68,15,10.01,106,70.73
soc,,soc_INM8TQHH,10393,7,6.74,10,9.62,51,49.07,45,43.3
soc,,soc_JPWXL8RH,13217,2,1.51,18,13.62,37,27.99,48,36.32
soc,,soc_DMKYTGUX,9029,3,3.32,11,12.18,30,33.23,54,59.81
soc,,soc_LV4TT6LS,8353,2,2.39,7,8.38,27,32.32,31,37.11
soc,,soc_HJLQNC3I,14995,1,0.67,3,2.0,21,14.0,64,42.68
soc,,soc_EHQXDN7N,13064,3,2.3,21,16.07,50,38.27,61,46.69
soc,,soc_I36WM2KC,15946,11,6.9,17,10.66,65,40.76,103,64.59
soc,,soc_Z285F5BM,5487,1,1.82,2,3.64,4,7.29,24,43.74
soc,,soc_Z99HZKI3,16467,5,3.04,6,3.64,71,43.12,52,31.58
soc,,soc_ZZ9C52FC,16369,5,3.05,1,0.61,33,20.16,58,35.43
soc,,soc_I5MN2ZII,20789,11,5.29,21,10.1,50,24.05,72,34.63
soc,,soc_8VVR8R3I,7884,4,5.07,3,3.81,22,27.9,18,22.83
