show,show_name,show_cn,number,title_en,title_cn,date,tag,link,spotify_episode_id,spotify_url,spotify_matched_title,group
rip,The Rest Is Politics,其余皆为政治,561,How Trump's Chaos Keeps Splintering the World Order,特朗普的混乱如何持续撕裂世界秩序,2026-08-11,全球政治,https://podcasts.apple.com/us/podcast/how-trumps-chaos-keeps-splintering-the-world-order/id1611374685?i=1000782760060,4XY2EipJg1SlR5myaFI1jD,https://open.spotify.com/episode/4XY2EipJg1SlR5myaFI1jD,561. How Trump’s Chaos Keeps Splintering the World Order,restis
rient,The Rest Is Entertainment,其余皆为娱乐,—,Box Office Battle: Spielberg vs Nolan,票房大战：斯皮尔伯格 vs 诺兰,2026-01-13,电影产业,https://podcasts.apple.com/us/podcast/box-office-battle-spielberg-vs-nolan/id1718287198?i=1000744872161,3LVgCPmaE4ZbT1hlL5klbw,https://open.spotify.com/episode/3LVgCPmaE4ZbT1hlL5klbw,Box Office Battle: Spielberg vs Nolan,restis
rient,The Rest Is Entertainment,其余皆为娱乐,—,"The Oscars: Drama, Fallout and Chalamet's Shocker",奥斯卡：戏剧、余波与查拉梅的震撼,2026-03-16,电影产业,https://podcasts.apple.com/us/podcast/the-oscars-drama-fallout-and-chalamets-shocker/id1718287198?i=1000755574421,649xxEOYjXC8yZ9aw3oCh7,https://open.spotify.com/episode/649xxEOYjXC8yZ9aw3oCh7,"The Oscars: Drama, Fallout and Chalamet’s Shocker",restis
rimoney,The Rest Is Money,其余皆为金钱,301,Why the US won't stop China in the AI race,为什么美国阻止不了中国在 AI 竞赛中的脚步,2026-08-02,科技×经济,SEARCH:China AI race,2CTQflfDfpRpuRcwwYC287,https://open.spotify.com/episode/2CTQflfDfpRpuRcwwYC287,301. Why the US won't stop China in the AI race,restis
rimoney,The Rest Is Money,其余皆为金钱,302,"Can the West bridge the gap with China, India and the BRICs+ nations?",西方能否弥合与中国、印度及金砖+国家的鸿沟？,2026-08-05,全球经济,https://podcasts.apple.com/us/podcast/can-the-west-bridge-the-gap-with-china/id1703785141?i=1000780145448,2G3oLOOGZryOl0EnJQa0CC,https://open.spotify.com/episode/2G3oLOOGZryOl0EnJQa0CC,"302. Can the West bridge the gap with China, India and the BRICs+ nations?",restis
rih,The Rest Is History,其余皆为历史,166,Genghis Khan: Lord of the Mongols,成吉思汗：蒙元之主,2022-03-22,中亚史,SEARCH:Genghis Khan,42SD2Brb1P3CkC3QUUNop6,https://open.spotify.com/episode/42SD2Brb1P3CkC3QUUNop6,166. Genghis Khan: Lord of the Mongols,restis
rih,The Rest Is History,其余皆为历史,277,Japan: Samurai and Shoguns,日本：武士与幕府将军,2022-12-09,日本·武士,SEARCH:Samurai and Shoguns,6lXNuHjCcti2YSPF2AF19Q,https://open.spotify.com/episode/6lXNuHjCcti2YSPF2AF19Q,277: Japan: Samurai and Shoguns,restis
rih,The Rest Is History,其余皆为历史,101,James Bond,詹姆斯·邦德（007）,2021-09-27,谍影×流行,SEARCH:James Bond,0zrYcKTcbj7eVWM3mYQDL4,https://open.spotify.com/episode/0zrYcKTcbj7eVWM3mYQDL4,101. James Bond,restis
rih,The Rest Is History,其余皆为历史,370,"The 1973 Chilean Coup: Allende, Nixon and the CIA (Part 1)",1973 智利政变：阿连德、尼克松与中情局（上）,2023-09-20,冷战·拉美,SEARCH:Chilean Coup,5iSHeqZFrrViqZgCZtSP21,https://open.spotify.com/episode/5iSHeqZFrrViqZgCZtSP21,"370. The 1973 Chilean Coup: Allende, Nixon and the CIA (Part 1)",restis
riclass,The Rest Is Classified,其余皆为机密,174,The Murder of Litvinenko: Did the British State Hide the Truth? (Ep 6),利特维年科之死：英国政府是否掩盖了真相？（第 6 集）,2026-07-08,俄谍·投毒,SEARCH:Litvinenko,0Vz3OTpzeLrT9NaWSwcAlL,https://open.spotify.com/episode/0Vz3OTpzeLrT9NaWSwcAlL,174. The Murder of Litvinenko: Did the British State Hide the Truth? (Ep 6),restis
riclass,The Rest Is Classified,其余皆为机密,175,How China Downed a US Spy Plane (Ep 1),中国如何击落美国侦察机（第 1 集）,2026-07-12,中美·军事,SEARCH:US Spy Plane,00PdVCtcw6lyfRvTVUrVbQ,https://open.spotify.com/episode/00PdVCtcw6lyfRvTVUrVbQ,175. How China Downed a US Spy Plane (Ep 1),restis
rimoney,The Rest Is Money,其余皆为金钱,297,How do we reshape our workforce in the AI era?,我们如何在 AI 时代重塑劳动力？,2026-07-19,AI×就业,SEARCH:AI era workforce,5vMnShDAXX72BS3zqjifJz,https://open.spotify.com/episode/5vMnShDAXX72BS3zqjifJz,297. How do we reshape our workforce in the AI era?,restis
rip,The Rest Is Politics,其余皆为政治,—,Data Centres vs. Drinking Water: What Matters To Us Most?,数据中心 vs 饮用水：什么对我们更重要？,2026-07-30,STS·基建,SEARCH:Data Centres Water,13xTupjN3Xq5yy6akK9eYD,https://open.spotify.com/episode/13xTupjN3Xq5yy6akK9eYD,Data Centres vs. Drinking Water: What Matters To Us Most? ,restis
blankcheck,Blank Check with Griffin & David,空白支票（Blank Check）,—,Mean Streets with Miriam Bale,《穷街陋巷》× 影评人 Miriam Bale（斯科塞斯系列）,2026-08-16,电影·斯科塞斯,,6hSE3FYnITw20yy18Ub8M0,https://open.spotify.com/episode/6hSE3FYnITw20yy18Ub8M0,Mean Streets with Miriam Bale,other
filmcomment,The Film Comment Podcast,电影评论播客,—,"Cannes 2026 #8, with Justin Chang, Tim Grierson, and Jessica Kiang",戛纳 2026 第八期：三位顶级影评人对谈,2026-05-26,电影·戛纳,,5kp6GpHPgU7O9JFvv5xU88,https://open.spotify.com/episode/5kp6GpHPgU7O9JFvv5xU88,"Cannes 2026 #8, with Justin Chang, Tim Grierson, and Jessica Kiang",other
purecinema,Pure Cinema Podcast,纯粹电影播客,—,Anything Goes: 80s!,任意门：80 年代主题片单大杂烩,2025-03-04,电影·类型片,,7488mJjYZbmeTt8PcMhvhx,https://open.spotify.com/episode/7488mJjYZbmeTt8PcMhvhx,Anything Goes: 80s!,other
cinephiliacs,The Cinephiliacs,影迷学,—,TC #117 - Justin Chang (Flowers of Shanghai),贾斯汀·张聊侯孝贤《海上花》,2019-08-01,电影·侯孝贤,,4LVv1EbY2t0yLaTHE2lBwi,https://open.spotify.com/episode/4LVv1EbY2t0yLaTHE2lBwi,TC #117 - Justin Chang (Flowers of Shanghai),other
newbookssts,"New Books in Science, Technology, and Society",新书：科学·技术·社会,—,Beyond Free Speech: Why AI Governance Demands Freedom of Thought,超越言论自由：AI 治理为何需要思想自由,2026-08-09,STS·AI 治理,,5LrSGE6W4nCSZXd0vgPfFp,https://open.spotify.com/episode/5LrSGE6W4nCSZXd0vgPfFp,Beyond Free Speech: Why AI Governance Demands Freedom of Thought,other
techwontsaveus,Tech Won't Save Us,科技救不了我们,—,How Cloud Giants Wield Their Power Against Us All w/ Cecilia Rikap,云巨头如何对我们所有人滥用权力（嘉宾 Cecilia Rikap）,2026-07-30,STS·云巨头,,2DUb1V1qT75nb6W6jKpMKO,https://open.spotify.com/episode/2DUb1V1qT75nb6W6jKpMKO,How Cloud Giants Wield Their Power Against Us All w/ Cecilia Rikap,other
econtalk,EconTalk,EconTalk 经济漫谈,—,The Unseen Work: Stewart Brand on Maintenance and Civilization,看不见的活计：斯图尔特·布兰德谈维护与文明,2026-04-06,思想·文明,,3ZQn8LoVhq5lOAMdCNscj3,https://open.spotify.com/episode/3ZQn8LoVhq5lOAMdCNscj3,The Unseen Work: Stewart Brand on Maintenance and Civilization,other
philosophybites,Philosophy Bites,哲学小咬,—,James Klagge on Wittgenstein,詹姆斯·克拉格谈维特根斯坦,2024-02-19,哲学·维特根斯坦,,4dWvlKiL4lcMcpCn0aR3u2,https://open.spotify.com/episode/4dWvlKiL4lcMcpCn0aR3u2,James Klagge on Wittgenstein,other
pel,The Partially Examined Life,半途而废的哲学人生,—,Ep. 393: Kant vs. Hegel (Part One),第 393 期：康德 vs 黑格尔（上）,2026-06-08,哲学·德国观念论,,08s0tbZNHP6MgsPNk5xN9J,https://open.spotify.com/episode/08s0tbZNHP6MgsPNk5xN9J,Ep. 393: Kant vs. Hegel (Part One),other
hpwag,History of Philosophy Without Any Gaps,无缝哲学史,—,HoP 498 Probably Probable: Pierre Bayle and his Dictionary,HoP 498：皮埃尔·培尔与其《辞典》,2026-07-26,哲学史·近代,,7ehjV1E0Zm10HtuzPzHekp,https://open.spotify.com/episode/7ehjV1E0Zm10HtuzPzHekp,HoP 498 Probably Probable: Pierre Bayle and his Dictionary,other
betweenthecovers,Between the Covers,书页之间,—,Valeria Luiselli : Beginning Middle End,瓦莱里娅·路易塞利谈新作,2026-07-27,文学·拉美,,0kghiITKgeWqnSZkNJUC8Z,https://open.spotify.com/episode/0kghiITKgeWqnSZkNJUC8Z,Valeria Luiselli : Beginning Middle End,other
geeksguide,Geek's Guide to the Galaxy,极客银河指南,—,575. Rendezvous with Rama by Arthur C. Clarke Review,第 575 期：阿瑟·克拉克《与拉玛相会》书评,2024-07-27,科幻·克拉克,,0v3m8tYhj5vvwaAtqYPcNf,https://open.spotify.com/episode/0v3m8tYhj5vvwaAtqYPcNf,"575. Rendezvous with Rama by Arthur C. Clarke Review (with Matthew Kressel, Anthony Ha, Sara Lynn Michener)",other
geeksguide,Geek's Guide to the Galaxy,极客银河指南,—,434. Foundation by Isaac Asimov Review,第 434 期：阿西莫夫《基地》书评,2020-10-02,科幻·阿西莫夫,,0qkkmQQn5tVMgQsNL1fUMK,https://open.spotify.com/episode/0qkkmQQn5tVMgQsNL1fUMK,"434. Foundation by Isaac Asimov Review (with Anthony Ha, John Kessel, Abby Goldsmith)",other
parisreview,The Paris Review,巴黎评论,—,"Inside the Issue | ""I Don't Do Innocents: A Radio Play in One Act"" by Anne Carson",刊内独家：安妮·卡森《我不做无辜者》独幕广播剧,2026-03-04,文学·诗歌,,4hcJl0Cg78oGndV7XqvsJV,https://open.spotify.com/episode/4hcJl0Cg78oGndV7XqvsJV,Inside the Issue | “I Don’t Do Innocents: A Radio Play in One Act” by Anne Carson,other
backlisted,Backlisted,绝版好书榜,—,Science Fiction Special,科幻特辑：被低估的科幻老书,2023-02-21,文学·科幻经典,,5R2NbEUIQM1ksOBxrrjMnC,https://open.spotify.com/episode/5R2NbEUIQM1ksOBxrrjMnC,Science Fiction Special,other
historyhit,Dan Snow's History Hit,丹·斯诺历史直击,—,How Did Japan Become A Superpower?,日本如何成为超级大国？,2026-05-07,历史·日本,,0gPOmd1ym8kEikdRLsEL7V,https://open.spotify.com/episode/0gPOmd1ym8kEikdRLsEL7V,How Did Japan Become A Superpower?,other
longnow,Long Now,漫长的当下,—,Kim Stanley Robinson & Stephen Heintz: A Logic For The Future,金·斯坦利·罗宾逊 × 斯蒂芬·海因茨：未来的逻辑,2025-05-01,思想·未来,,2Ap0M2U5xnwrkRa53DeLI3,https://open.spotify.com/episode/2Ap0M2U5xnwrkRa53DeLI3,Kim Stanley Robinson & Stephen Heintz: A Logic For The Future,other
lrb,The LRB Podcast,伦敦书评播客,—,Poetry and the Turning World: Technology,诗歌与转向中的世界：技术,2026-06-14,文学·诗歌×技术,,5wq2HIHe1T7YCKlT2OHj7u,https://open.spotify.com/episode/5wq2HIHe1T7YCKlT2OHj7u,Poetry and the Turning World: Technology,other
sinica,Sinica Podcast,中国纵横,—,The Platform State: Angela Zhang and Alex Yang on How China Really Governs Its Economy,平台型国家：中国如何真正治理其经济,2026-07-08,中国·平台经济,,2xCs4xM131gGb7vUm8dUj0,https://open.spotify.com/episode/2xCs4xM131gGb7vUm8dUj0,The Platform State: Angela Zhang and Alex Yang on How China Really Governs Its Economy,other
candidframe,The Candid Frame,坦率的取景框,—,TCF Ep. 401 - MSPF: NYC Street Photography Panel,纽约街头摄影圆桌（MSPF）,2017-12-27,摄影·街头,,6r1xWEOesAJiHefv0sw4T7,https://open.spotify.com/episode/6r1xWEOesAJiHefv0sw4T7,TCF Ep. 401 - MSPF: NYC Street Photography Panel,other
